Checking for IMEI intersection between #88 and others...
Found 405 history records in #88 equipments that mention other purchases.
Equipo 12228: Ingreso inicial por compra #88.
Equipo 12229: Ingreso inicial por compra #88.
Equipo 12230: Ingreso inicial por compra #88.
Equipo 12231: Ingreso inicial por compra #88.
Equipo 12232: Ingreso inicial por compra #88.
Equipo 12233: Ingreso inicial por compra #88.
Equipo 12234: Ingreso inicial por compra #88.
Equipo 12235: Ingreso inicial por compra #88.
Equipo 12236: Ingreso inicial por compra #88.
Equipo 12237: Ingreso inicial por compra #88.
Equipo 12238: Ingreso inicial por compra #88.
Equipo 12239: Ingreso inicial por compra #88.
Equipo 12240: Ingreso inicial por compra #88.
Equipo 12241: Ingreso inicial por compra #88.
Equipo 12242: Ingreso inicial por compra #88.
Equipo 12243: Ingreso inicial por compra #88.
Equipo 12244: Ingreso inicial por compra #88.
Equipo 12245: Ingreso inicial por compra #88.
Equipo 12246: Ingreso inicial por compra #88.
Equipo 12247: Ingreso inicial por compra #88.
Equipo 12248: Ingreso inicial por compra #88.
Equipo 12249: Ingreso inicial por compra #88.
Equipo 12250: Ingreso inicial por compra #88.
Equipo 12251: Ingreso inicial por compra #88.
Equipo 12252: Ingreso inicial por compra #88.
Equipo 12253: Ingreso inicial por compra #88.
Equipo 12254: Ingreso inicial por compra #88.
Equipo 12255: Ingreso inicial por compra #88.
Equipo 12256: Ingreso inicial por compra #88.
Equipo 12257: Ingreso inicial por compra #88.
Equipo 12258: Ingreso inicial por compra #88.
Equipo 12259: Ingreso inicial por compra #88.
Equipo 12260: Ingreso inicial por compra #88.
Equipo 12261: Ingreso inicial por compra #88.
Equipo 12262: Ingreso inicial por compra #88.
Equipo 12263: Ingreso inicial por compra #88.
Equipo 12264: Ingreso inicial por compra #88.
Equipo 12265: Ingreso inicial por compra #88.
Equipo 12266: Ingreso inicial por compra #88.
Equipo 12267: Ingreso inicial por compra #88.
Equipo 12268: Ingreso inicial por compra #88.
Equipo 12269: Ingreso inicial por compra #88.
Equipo 12270: Ingreso inicial por compra #88.
Equipo 12271: Ingreso inicial por compra #88.
Equipo 12272: Ingreso inicial por compra #88.
Equipo 12273: Ingreso inicial por compra #88.
Equipo 12274: Ingreso inicial por compra #88.
Equipo 12275: Ingreso inicial por compra #88.
Equipo 12276: Ingreso inicial por compra #88.
Equipo 12277: Ingreso inicial por compra #88.
Equipo 12278: Ingreso inicial por compra #88.
Equipo 12279: Ingreso inicial por compra #88.
Equipo 12280: Ingreso inicial por compra #88.
Equipo 12281: Ingreso inicial por compra #88.
Equipo 12282: Ingreso inicial por compra #88.
Equipo 12283: Ingreso inicial por compra #88.
Equipo 12284: Ingreso inicial por compra #88.
Equipo 12285: Ingreso inicial por compra #88.
Equipo 12286: Ingreso inicial por compra #88.
Equipo 12287: Ingreso inicial por compra #88.
Equipo 12288: Ingreso inicial por compra #88.
Equipo 12289: Ingreso inicial por compra #88.
Equipo 12290: Ingreso inicial por compra #88.
Equipo 12291: Ingreso inicial por compra #88.
Equipo 12292: Ingreso inicial por compra #88.
Equipo 12293: Ingreso inicial por compra #88.
Equipo 12294: Ingreso inicial por compra #88.
Equipo 12295: Ingreso inicial por compra #88.
Equipo 12296: Ingreso inicial por compra #88.
Equipo 12297: Ingreso inicial por compra #88.
Equipo 12298: Ingreso inicial por compra #88.
Equipo 12299: Ingreso inicial por compra #88.
Equipo 12300: Ingreso inicial por compra #88.
Equipo 12301: Ingreso inicial por compra #88.
Equipo 12302: Ingreso inicial por compra #88.
Equipo 12303: Ingreso inicial por compra #88.
Equipo 12304: Ingreso inicial por compra #88.
Equipo 12305: Ingreso inicial por compra #88.
Equipo 12306: Ingreso inicial por compra #88.
Equipo 12307: Ingreso inicial por compra #88.
Equipo 12308: Ingreso inicial por compra #88.
Equipo 12309: Ingreso inicial por compra #88.
Equipo 12310: Ingreso inicial por compra #88.
Equipo 12311: Ingreso inicial por compra #88.
Equipo 12312: Ingreso inicial por compra #88.
Equipo 12313: Ingreso inicial por compra #88.
Equipo 12314: Ingreso inicial por compra #88.
Equipo 12315: Ingreso inicial por compra #88.
Equipo 12316: Ingreso inicial por compra #88.
Equipo 12317: Ingreso inicial por compra #88.
Equipo 12318: Ingreso inicial por compra #88.
Equipo 12319: Ingreso inicial por compra #88.
Equipo 12320: Ingreso inicial por compra #88.
Equipo 12321: Ingreso inicial por compra #88.
Equipo 12322: Ingreso inicial por compra #88.
Equipo 12323: Ingreso inicial por compra #88.
Equipo 12324: Ingreso inicial por compra #88.
Equipo 12325: Ingreso inicial por compra #88.
Equipo 12326: Ingreso inicial por compra #88.
Equipo 12327: Ingreso inicial por compra #88.
Equipo 12328: Ingreso inicial por compra #88.
Equipo 12329: Ingreso inicial por compra #88.
Equipo 12330: Ingreso inicial por compra #88.
Equipo 12331: Ingreso inicial por compra #88.
Equipo 12332: Ingreso inicial por compra #88.
Equipo 12333: Ingreso inicial por compra #88.
Equipo 12334: Ingreso inicial por compra #88.
Equipo 12335: Ingreso inicial por compra #88.
Equipo 12336: Ingreso inicial por compra #88.
Equipo 12337: Ingreso inicial por compra #88.
Equipo 12338: Ingreso inicial por compra #88.
Equipo 12339: Ingreso inicial por compra #88.
Equipo 12340: Ingreso inicial por compra #88.
Equipo 12341: Ingreso inicial por compra #88.
Equipo 12342: Ingreso inicial por compra #88.
Equipo 12343: Ingreso inicial por compra #88.
Equipo 12344: Ingreso inicial por compra #88.
Equipo 12345: Ingreso inicial por compra #88.
Equipo 12346: Ingreso inicial por compra #88.
Equipo 12347: Ingreso inicial por compra #88.
Equipo 12348: Ingreso inicial por compra #88.
Equipo 12349: Ingreso inicial por compra #88.
Equipo 12350: Ingreso inicial por compra #88.
Equipo 12351: Ingreso inicial por compra #88.
Equipo 12352: Ingreso inicial por compra #88.
Equipo 12353: Ingreso inicial por compra #88.
Equipo 12354: Ingreso inicial por compra #88.
Equipo 12355: Ingreso inicial por compra #88.
Equipo 12356: Ingreso inicial por compra #88.
Equipo 12357: Ingreso inicial por compra #88.
Equipo 12358: Ingreso inicial por compra #88.
Equipo 12359: Ingreso inicial por compra #88.
Equipo 12360: Ingreso inicial por compra #88.
Equipo 12361: Ingreso inicial por compra #88.
Equipo 12362: Ingreso inicial por compra #88.
Equipo 12363: Ingreso inicial por compra #88.
Equipo 12364: Ingreso inicial por compra #88.
Equipo 12365: Ingreso inicial por compra #88.
Equipo 12366: Ingreso inicial por compra #88.
Equipo 12367: Ingreso inicial por compra #88.
Equipo 12368: Ingreso inicial por compra #88.
Equipo 12369: Ingreso inicial por compra #88.
Equipo 12370: Ingreso inicial por compra #88.
Equipo 12371: Ingreso inicial por compra #88.
Equipo 12372: Ingreso inicial por compra #88.
Equipo 12373: Ingreso inicial por compra #88.
Equipo 12374: Ingreso inicial por compra #88.
Equipo 12375: Ingreso inicial por compra #88.
Equipo 12376: Ingreso inicial por compra #88.
Equipo 12377: Ingreso inicial por compra #88.
Equipo 12378: Ingreso inicial por compra #88.
Equipo 12379: Ingreso inicial por compra #88.
Equipo 12380: Ingreso inicial por compra #88.
Equipo 12381: Ingreso inicial por compra #88.
Equipo 12382: Ingreso inicial por compra #88.
Equipo 12383: Ingreso inicial por compra #88.
Equipo 12384: Ingreso inicial por compra #88.
Equipo 12385: Ingreso inicial por compra #88.
Equipo 12386: Ingreso inicial por compra #88.
Equipo 12387: Ingreso inicial por compra #88.
Equipo 12388: Ingreso inicial por compra #88.
Equipo 12389: Ingreso inicial por compra #88.
Equipo 12390: Ingreso inicial por compra #88.
Equipo 12391: Ingreso inicial por compra #88.
Equipo 12392: Ingreso inicial por compra #88.
Equipo 12393: Ingreso inicial por compra #88.
Equipo 12394: Ingreso inicial por compra #88.
Equipo 12395: Ingreso inicial por compra #88.
Equipo 12396: Ingreso inicial por compra #88.
Equipo 12397: Ingreso inicial por compra #88.
Equipo 12398: Ingreso inicial por compra #88.
Equipo 12399: Ingreso inicial por compra #88.
Equipo 12400: Ingreso inicial por compra #88.
Equipo 12401: Ingreso inicial por compra #88.
Equipo 12402: Ingreso inicial por compra #88.
Equipo 12403: Ingreso inicial por compra #88.
Equipo 12404: Ingreso inicial por compra #88.
